id,file,old,refd,idx,wc,vid,refl,reft,date,dt
1,AEO-FAQ#0000.txt,n,AEO-FAQ.txt,0000,347,440b411a5042410b9ae0d26651b11a37,https://aub.edu.lb,text,240327,240327143523
2,AEO-FAQ#0001.txt,n,AEO-FAQ.txt,0001,327,df870f875d55455cac1c00ebf1fb8cf8,https://aub.edu.lb,text,240327,240327143525
3,AEO-FAQ#0002.txt,n,AEO-FAQ.txt,0002,376,f94d5f4f7e9f4a76a7e76457d51f3900,https://aub.edu.lb,text,240327,240327143526
4,AEO-FAQ#0003.txt,n,AEO-FAQ.txt,0003,334,b940a32e15e64660a2f31048e8cdfa21,https://aub.edu.lb,text,240327,240327143527
5,AEO-FAQ#0004.txt,n,AEO-FAQ.txt,0004,371,5bc663a274e04b8cb00cef09eeca29c8,https://aub.edu.lb,text,240327,240327143528
6,Admissions-FAQ#0000.txt,n,Admissions-FAQ.txt,0000,292,c52151c2d708415d908a25d4fcdf6521,https://aub.edu.lb,text,240327,240327143529
7,Admissions-FAQ#0001.txt,n,Admissions-FAQ.txt,0001,331,4626dccf50d14074bd59a51a1d7f9c0f,https://aub.edu.lb,text,240327,240327143530
8,Admissions-FAQ#0002.txt,n,Admissions-FAQ.txt,0002,305,56ebe5a771514a13b448b801ba017960,https://aub.edu.lb,text,240327,240327143531
9,Admissions-FAQ#0003.txt,n,Admissions-FAQ.txt,0003,297,e6a9d7c12c5e41069635afa773b048c3,https://aub.edu.lb,text,240327,240327143533
10,Admissions-FAQ#0004.txt,n,Admissions-FAQ.txt,0004,315,f032906359214474a82189ea0998400d,https://aub.edu.lb,text,240327,240327143534
11,Admissions-FAQ#0005.txt,n,Admissions-FAQ.txt,0005,315,f3814484b2714ad893718014e9d346ac,https://aub.edu.lb,text,240327,240327143535
12,Admissions-FAQ#0006.txt,n,Admissions-FAQ.txt,0006,298,f4f7d917ce504f6bbd7dfbe111c211db,https://aub.edu.lb,text,240327,240327143536
13,Admissions-FAQ#0007.txt,n,Admissions-FAQ.txt,0007,334,347077a998cb4b21a12040cbb2fdde6c,https://aub.edu.lb,text,240327,240327143537
14,Admissions-FAQ#0008.txt,n,Admissions-FAQ.txt,0008,312,5bb308b236a24ef5b2c4a69925cc51cc,https://aub.edu.lb,text,240327,240327143538
15,Admissions-FAQ#0009.txt,n,Admissions-FAQ.txt,0009,306,c41b2e06ea3345de8e04ac52af7fb52d,https://aub.edu.lb,text,240327,240327143539
16,Admissions-FAQ#0010.txt,n,Admissions-FAQ.txt,0010,295,7b0388b4394844e8aee5d06fb155cb9c,https://aub.edu.lb,text,240327,240327143541
17,Admissions-FAQ#0011.txt,n,Admissions-FAQ.txt,0011,13,02e0f56775e24c059b0d40462cb0393b,https://aub.edu.lb,text,240327,240327143542
18,Applications#0000.txt,n,Applications.txt,0000,83,bc9e61c1636a4dda92d7327a94985bce,https://aub.edu.lb,text,240327,240327143543
19,Applications#0001.txt,n,Applications.txt,0001,58,aa88609c36224d3fa761b2db53025be1,https://aub.edu.lb,text,240327,240327143544
20,CHSC-FAQ#0000.txt,n,CHSC-FAQ.txt,0000,384,8de2c261bb254254977595aa1171b531,https://aub.edu.lb,text,240327,240327143545
21,CHSC-FAQ#0001.txt,n,CHSC-FAQ.txt,0001,341,f06bc14c648b46359d18f1cbdca52dc4,https://aub.edu.lb,text,240327,240327143546
22,CHSC-FAQ#0002.txt,n,CHSC-FAQ.txt,0002,359,47cc3efc6c6548bc8f923882b6735031,https://aub.edu.lb,text,240327,240327143547
23,CHSC-FAQ#0003.txt,n,CHSC-FAQ.txt,0003,81,76f93e0995c74feb9b7b3c0f6a064559,https://aub.edu.lb,text,240327,240327143548
24,Contacts#0000.txt,n,Contacts.txt,0000,91,ddd3f08b90ed44049b18fc1b0f9a129b,https://aub.edu.lb,text,240327,240327143549
25,FAQ-Counseling#0000.txt,n,FAQ-Counseling.txt,0000,383,ab842faff2c24b35abf7b3b80e8b059a,https://aub.edu.lb,text,240327,240327143550
26,FAQ-Counseling#0001.txt,n,FAQ-Counseling.txt,0001,62,7465e28ae9534bbcbf62933e7c638b62,https://aub.edu.lb,text,240327,240327143552
27,Financial-Policy#0000.txt,n,Financial-Policy.txt,0000,344,937c9577d6114a5c995aa52f6a102e95,https://aub.edu.lb,text,240327,240327143553
28,Financial-Policy#0001.txt,n,Financial-Policy.txt,0001,318,c858051dd09b40b597e4cace30de1314,https://aub.edu.lb,text,240327,240327143554
29,Financial-Policy#0002.txt,n,Financial-Policy.txt,0002,346,e46c00a55aab445581495c379fc9fb8a,https://aub.edu.lb,text,240327,240327143555
30,Financial-Policy#0003.txt,n,Financial-Policy.txt,0003,97,c7283ef5e847462d916d8638f7eb5ac8,https://aub.edu.lb,text,240327,240327143556
31,OSA-Team#0000.txt,n,OSA-Team.txt,0000,83,ebd87afdd5cd4548af653b3bdd40b1aa,https://aub.edu.lb,text,240327,240327143558
32,OSA-Team#0001.txt,n,OSA-Team.txt,0001,83,73110cf6bf474488975e7bba7c95f9b5,https://aub.edu.lb,text,240327,240327143559
33,OSA-Team#0002.txt,n,OSA-Team.txt,0002,83,82dfef3b0032424ca93eb0fa5ce0ee05,https://aub.edu.lb,text,240327,240327143559
34,OSA-Team#0003.txt,n,OSA-Team.txt,0003,83,28d550ab3fad43af87ed3d90772363ad,https://aub.edu.lb,text,240327,240327143600
35,OSA-Team#0004.txt,n,OSA-Team.txt,0004,83,6276cd990df941468d1dd7c6426c0302,https://aub.edu.lb,text,240327,240327143601
36,OSA-Team#0005.txt,n,OSA-Team.txt,0005,83,cf9fcf82fdd34e849d5803e8b63411a0,https://aub.edu.lb,text,240327,240327143602
37,OSA-Team#0006.txt,n,OSA-Team.txt,0006,83,711ca67624284658bcc08102f27fa052,https://aub.edu.lb,text,240327,240327143604
38,Record-Retention#0000.txt,n,Record-Retention.txt,0000,200,43501caebf724a308342c9017a521469,https://aub.edu.lb,text,240327,240327143605
39,career-hub#0000.txt,n,career-hub.txt,0000,220,c91b95e700d540d4a865541652de1723,https://aub.edu.lb,text,240327,240327143606
40,guest-policy#0000.txt,n,guest-policy.txt,0000,350,c4a720f4e92b448e97a6c3ff6ede0f57,https://aub.edu.lb,text,240327,240327143607
41,guest-policy#0001.txt,n,guest-policy.txt,0001,345,2d286236c8dc407484c87e78878035df,https://aub.edu.lb,text,240327,240327143608
42,guest-policy#0002.txt,n,guest-policy.txt,0002,282,0be8eeeb7569488abdde67fb8db16a5d,https://aub.edu.lb,text,240327,240327143610
43,housing-agreement#0000.txt,n,housing-agreement.txt,0000,320,d530cb1c8b804203951d3ebeb87c59ba,https://aub.edu.lb,text,240327,240327143611
44,housing-agreement#0001.txt,n,housing-agreement.txt,0001,315,4bca59ef14c146ebb52ea2152748e898,https://aub.edu.lb,text,240327,240327143612
45,housing-agreement#0002.txt,n,housing-agreement.txt,0002,344,2122d329749c473fa23e58e8553e18fb,https://aub.edu.lb,text,240327,240327143613
46,housing-agreement#0003.txt,n,housing-agreement.txt,0003,334,713c5d57e49c43d59684c54c52ef22d0,https://aub.edu.lb,text,240327,240327143614
47,housing-agreement#0004.txt,n,housing-agreement.txt,0004,327,0b9eae37b3a34d0cabdd76a7fc2fdbfc,https://aub.edu.lb,text,240327,240327143615
48,housing-agreement#0005.txt,n,housing-agreement.txt,0005,337,489c483f24e14cf09340801b4567118f,https://aub.edu.lb,text,240327,240327143616
49,housing-agreement#0006.txt,n,housing-agreement.txt,0006,329,e0ad57ff78da44ffba5e90b0ec579577,https://aub.edu.lb,text,240327,240327143617
50,housing-agreement#0007.txt,n,housing-agreement.txt,0007,306,8d9f3f18ffc54804b094a9c3ee323ca4,https://aub.edu.lb,text,240327,240327143618
51,housing-agreement#0008.txt,n,housing-agreement.txt,0008,314,fee8651e287d45edb33ee7d5e364df2a,https://aub.edu.lb,text,240327,240327143619
52,housing-agreement#0009.txt,n,housing-agreement.txt,0009,338,170744166e474997923a859c9e7127dc,https://aub.edu.lb,text,240327,240327143620
53,housing-agreement#0010.txt,n,housing-agreement.txt,0010,297,df6d044ac663434f857d2f222121c96c,https://aub.edu.lb,text,240327,240327143621
54,housing-agreement#0011.txt,n,housing-agreement.txt,0011,178,3269fd66e33a4939a9d9cd5b602973c1,https://aub.edu.lb,text,240327,240327143622
55,laundry-rules#0000.txt,n,laundry-rules.txt,0000,356,746af7f22d524d98a25789334bd1927c,https://aub.edu.lb,text,240327,240327143624
56,laundry-rules#0001.txt,n,laundry-rules.txt,0001,28,518f167ceabb472da4756fdfaddb1222,https://aub.edu.lb,text,240327,240327143625
57,orientation#0000.txt,n,orientation.txt,0000,293,d063f5442439489fb6ebdc1314a8cecf,https://aub.edu.lb,text,240327,240327143626
58,orientation#0001.txt,n,orientation.txt,0001,312,1c728f99339f46f8a1269affc124c599,https://aub.edu.lb,text,240327,240327143628
59,orientation#0002.txt,n,orientation.txt,0002,328,3acd4283c79247289861b70abbbcade6,https://aub.edu.lb,text,240327,240327143629
60,orientation#0003.txt,n,orientation.txt,0003,306,64f0004781dd4e17943a9ba5fb596b92,https://aub.edu.lb,text,240327,240327143630
61,orientation#0004.txt,n,orientation.txt,0004,329,e181f5a181e74b00b79b3de6dfc5d207,https://aub.edu.lb,text,240327,240327143631
62,orientation#0005.txt,n,orientation.txt,0005,73,77a20464f9f64a1d8aba8b902a3a88c2,https://aub.edu.lb,text,240327,240327143632
63,osa_policies_forms#0000.txt,n,osa_policies_forms.txt,0000,97,7c0a86fdc08f4df0a7f66f1e935f9fcb,https://aub.edu.lb,text,240327,240327143633
64,osa_policies_forms#0001.txt,n,osa_policies_forms.txt,0001,46,c779fd850f294d789bc8e0b2e0cc8a76,https://aub.edu.lb,text,240327,240327143634
65,poster-policy#0000.txt,n,poster-policy.txt,0000,325,c790a23b58774227a0cb7c4632e28567,https://aub.edu.lb,text,240327,240327143635
66,poster-policy#0001.txt,n,poster-policy.txt,0001,321,001c5b02e8264f338bf82f4b0e047ca0,https://aub.edu.lb,text,240327,240327143636
67,poster-policy#0002.txt,n,poster-policy.txt,0002,254,3ec9b3aa1f914f7faf8d2bab445bd6d7,https://aub.edu.lb,text,240327,240327143637
68,residence-rules#0000.txt,n,residence-rules.txt,0000,322,aa80f6bf52734518ac523e55fd75dc38,https://aub.edu.lb,text,240327,240327143638
69,residence-rules#0001.txt,n,residence-rules.txt,0001,353,3880f2024fc7457495f456ec1ffc508a,https://aub.edu.lb,text,240327,240327143639
70,residence-rules#0002.txt,n,residence-rules.txt,0002,320,d4f2a78c7e074275bc624c9939b3755c,https://aub.edu.lb,text,240327,240327143640
71,residence-rules#0003.txt,n,residence-rules.txt,0003,341,5611e7df153d49b3a08ae0161afe4903,https://aub.edu.lb,text,240327,240327143641
72,residence-rules#0004.txt,n,residence-rules.txt,0004,160,577d00a584554977af6e64ddbdce6380,https://aub.edu.lb,text,240327,240327143642
73,storage-policy#0000.txt,n,storage-policy.txt,0000,338,c97a91712583489d9595b5609a3aec15,https://aub.edu.lb,text,240327,240327143643
74,storage-policy#0001.txt,n,storage-policy.txt,0001,326,490cfd70d13648aea0bab1040e5c25a4,https://aub.edu.lb,text,240327,240327143644
